HVQ_036_000001	Của bầu một nước, không gì quý bằng đất đai: nhân dân và của cải đều do đấy mà sinh ra.
HVQ_036_000002	Cho nên nhà Thành Chu cẩn thận về công việc của chức phương!
HVQ_036_000003	[1]; các đời coi trọng về chức trách của tư không đều cốt để biết hết bờ cõi, mà hiểu rõ lợi hay hại trong nước.
HVQ_036_000004	Nước Việt ta, từ đời Hùng Vương dựng nước, chia địa giới, đặt kinh đô, núi sông nước Nam đã có giới hạn ở "sách trời".
HVQ_036_000005	Tuy trải qua thời nội thuộc Hán, Đường cắt đặt có khác, nhưng đến khi Đinh, Lý nối nhau dấy lên, bờ cõi đã nhất định.
HVQ_036_000006	Truyền đến các đời xưng hùng xưng đế một phương, được sắc vàng sách phong của Trung Quốc, dựng cột đồng làm giới hạn cõi Nam có 15 đạo thừa tuyên chia ra rào bọc các nơi, có thể gọi là một bản đồ rất rộng và bờ cõi có nhất định.
HVQ_036_000007	Nhưng tên đất nhân cũ đổi mới trước sau có khác nhau, phong khí mỗi ngày mở mang xưa nay có biến đổi, mà sử ghi chép về địa dư không có bằng chứng hoặc còn thiếu sót, thì người muốn xem rộng biết kê cứu vào đâu để đính chính được!
HVQ_036_000008	[Tôi] thường khảo: Từ đời Triệu Vũ trở về trước, đất Ngũ Lĩnh [3] đều là cõi đất của Việt.
HVQ_036_000009	Đến khi Triệu đã mất nước, thì các đời về sau chỉ có vùng Giao Nam, thế thì đất ở chỗ quan ải [giáp giới hai nước] trước sau không giống nhau.
HVQ_036_000010	Từ Lý, Trần trở về trước, châu Hoan, châu Ái còn gọi là trại, đến nhà Lê dấy lên, thì hai xứ ấy mới là nơi căn bản, như thế thì cõi đất Nhật Nam cũng mở rộng dần ra.
HVQ_036_000011	Đến như địa giới trong 4 thừa tuyên chia ra hay hợp lại, núi sông ở ngoại trấn hiểm (1) Tên một chức quan đời xưa coi việc bờ cõi, đất đai của một nước (Chu lễ).
HVQ_036_000012	(2) Chức quan từ đời Thiếu Hạo đặt ra, coi giữ riêng về việc đất đai của nước (Chu lễ).
HVQ_036_000013	(3) Theo Tiền Hán thư chỗ đất ở khoảng hai quận Giao Chỉ và Hợp Phố có năm dãy núi, nên gọi là Ngũ Lĩnh.
HVQ_036_000014	Theo Quảng Châu ký thì Đại Dũ, Thủy An, Lâm Hạ, Quế Dương, Yết Dương là Ngũ Lĩnh.
HVQ_036_000015	Theo Độc sử phương dư kỷ yếu thì Ngũ Lĩnh là năm con đường đi vào Ngũ Lĩnh.
HVQ_036_000016	Dư địa chí 25 trở hay bằng phẳng, chỗ này chỗ kia khác nhau, hình thế mọi chỗ đều nên khảo kỹ kê cứu thêm vào, rồi biên đủ và chép rõ.
HVQ_036_000017	Nên mới lấy ở các sách cũ, tham khảo thêm ở các truyện, đầu tiên chép về bờ cõi, chia biệt ra các thừa tuyên: Thứ nhất, nói về sự khác nhau về bờ cõi qua các đời.
HVQ_036_000018	Thứ hai, nói về sự khác nhau về phong thổ của các đạo.
HVQ_036_000019	Việc xếp đặt của đời xưa đời nay đều nói rõ, các sự tích ở nơi gần, nơi xa đều ghi đủ, để cho người xem có thể mở sách mà biết được khắp.
HVQ_036_000020	Đời Hùng Vương dựng nước gọi là nước Văn Lang, đóng đô ở Phong Châu (2), chia nước ta làm 15 bộ: Giao Chỉ, Chu Diên, Vũ Ninh, Phúc Lộc, Việt Thường, Ninh Hải, Dương Tuyền, Lục Hải, Vũ Định, Hoài Hoan, Cửu Chân, Bình Văn, Tân Hưng, Cửu Đức.
HVQ_036_000021	Chỗ nhà vua ở gọi là nước Văn Lang.
HVQ_036_000022	Lời bàn của sử thần họ Ngô (3): Xét cương giới nước Việt ta bắt đầu có bằng chứng khảo được là từ đời Hán chia ra 7 quận, 56 huyện gọi là bộ Giao Châu.
HVQ_036_000023	Từ Tấn, Tùy trở về sau thường có nhân cũ hay đổi mới khác nhau.
HVQ_036_000024	Đến đời Đường, đặt đạo Lĩnh Nam, lấy đất An Nam riêng ra làm phủ đô hộ, gồm có 10 quận 59 huyện tức là quận Giao Chỉ, Cửu Chân, Nhật Nam ở trong 7 quận của nhà Hán.
HVQ_036_000025	Trong khi ấy có nhân cũ đổi mới, cắt lấy chỗ này ghép vào chỗ kia rồi cương giới của nước Nam ta đến lúc ấy mới nhất định.
HVQ_036_000026	Nay đem những tên các bộ về đời Hùng Vương đặt ra mà tìm trong các sách địa chí của các đời trước thì thấy: ở Đường thư (4) gọi là Giao Chỉ, Chu Diên thì thuộc quận Giao Chỉ, gọi là Cửu Chân thì thuộc quận Ái Châu, gọi là Cửu Đức, Việt Thường thì thuộc quận Hoan Châu, gọi là Phúc Lộc thì thuộc quận Đường Lâm, gọi là Hoài Hoan thì thuộc quận... (1) Sử cũ chép: nước Văn Lang, phía đông đến biển, phía tây đến đất Ba Thục, phía bắc đến hồ Động Đình, phía nam giáp nước Hồ Tôn, tức là nước Chiêm Thành ngày nay.
HVQ_036_000027	(2) Chữ in có dấu nháy kép thừa.
HVQ_036_000028	(3) Tức Ngô Thì Sĩ.
HVQ_036_000029	(4) Ở mục Địa lý chí.
HVQ_036_000030	Lịch triều hiến chương loại chí Diễn Châu, gọi là Vũ Định thì thuộc quận Giao Chí, nhưng đến nhà Tùy đổi là Long Bình.
HVQ_036_000031	Lại Đường thư chép: châu Vũ Định có ba huyện lệ thuộc vào là: huyện Nhu Viễn, hoặc huyện Đường Lâm làm bộ Vũ Định, cùng với Phúc Lộc, đều gọi là bộ cả.
HVQ_036_000032	Đời Tấn, bộ Vũ Ninh là huyện của Giao Chỉ; bộ Tân Hưng ở Phong Châu cũng thuộc quận Giao Chỉ, đời Ngô bắt đầu chia đặt làm quận.
HVQ_036_000033	Chỉ có bộ Lục Hải, Bình Văn thì duyên cách thế nào chưa rõ.
HVQ_036_000034	Có lẽ cũng là quận, huyện trong địa giới của phủ đô hộ, người nhà Đường đổi ra tên mới, nên không thể tra xét được.
HVQ_036_000035	Nếu bảo rằng nước Văn Lang phía bắc đến hồ Động Đình, thế thì từ đời Hùng-vương đã có đất trong 7 quận của nhà Hán rồi sao?
HVQ_036_000036	Kể ra, Nam Hải, Quế Lâm và một nửa đất Tượng Quận, từ trước khi nhà Tần chưa mở mang đặt quận huyện, dân đều còn là giống Bàn Hô, các dân Đồng, Dao, Linh, Cạt đều có quân trưởng của họ thì Hùng-vương làm gì mà có đất ấy được.
HVQ_036_000037	Và lại, Hùng-vương đương vào đời Nghiêu, Thuấn ở Trung Quốc thì khi ấy hồ Động Đình là nơi hiểm yếu, đương bị người Tam Miêu ngăn trở, cương giới về phía bắc nước ta lúc bấy giờ làm gì đã đến đấy được!
HVQ_036_000038	Từ khi người nhà Tần hàng phục được cả Bách Việt thì hai tỉnh Quảng Đông, Quảng Tây mới đặt làm quận huyện.
HVQ_036_000039	Triệu Vũ đế nhờ mệnh lệnh của nhà Tần, nhân lúc loạn mới chiếm cứ lấy.
HVQ_036_000040	Từ Nam Hải, Phiên Ngung trở về nam, từ Khánh Viễn, Tư Ân, Thái Bình trở về bắc, gọi là Nam Việt thì Giao Châu không ở vào trong ấy.
HVQ_036_000041	Lại địa chí nhà Đông Hán gọi quận Giao Chỉ là nước của An-Dương-vương, cách phía nam đất Lạc Dương 11.000 dặm, thì đủ rõ rằng đất (1) Chỉ nhà Ngô đời Tam quốc.
HVQ_036_000042	(2) Tên gọi chung một số dân tộc ở miền núi như Dao, Mán, đều tin lời truyền thuyết: tổ tiên mình khi xưa có quan hệ với con chó thần Bàn Hồ.
HVQ_036_000043	(3) Đồng, Dao, Linh, Cật đều là tên dân tộc thiểu số xưa ở miền Nam Trung Quốc.
HVQ_036_000044	(4) Gồm nhiều giống người Miêu ở Trung Quốc.
HVQ_036_000045	Thời cổ là nước Tam Miêu ở vào khoảng giữa Động Đình, Bành Trạch, tức là đất thuộc tỉnh Hồ Nam bây giờ.
HVQ_036_000046	(5) Ba đất này đều thuộc về tỉnh Quảng Tây của Trung Quốc.
HVQ_036_000047	(6) Tức là Hậu Hán thư, mục Quận quốc chí.
